ExperimentalCondition,Head Horizontal,Head Vertical,Eye Horizontal,Eye Vertical,SuccessfulCompletion,Time,Event
BaseCondition,0.9872455596923828,-0.1159966140985488,0.9596514701843262,-0.2010591328144073,0.0,-1.00,NoEvent
AudioOnly,0.953851044178009,-0.2202285528182983,0.9614768624305724,-0.069353237748146,0.0,-1.00,NoEvent
FullLoopAR,0.9503573179244996,-0.2302795946598053,0.9388067559762434,0.1906149008057334,0.0,-1.00,NoEvent
HUDOnly,0.965367078781128,0.1415752172470092,0.9600332379341124,-0.1960299909114837,0.0,-1.00,NoEvent
BaseCondition,0.9738667607307434,-0.0069708619266748,0.9661201238632202,-0.1097068563103675,0.0,-1.00,NoEvent
BaseCondition,0.9774591326713562,-0.1354618519544601,0.982165277004242,-0.1193556562066078,1.0,-1.00,NoEvent
FullLoopAR,0.9852025508880616,-0.0361256599426269,0.9239397048950196,-0.0420336574316024,1.0,-1.00,NoEvent
HUDOnly,0.9798914194107056,-0.0984745919704437,0.8675404906272888,-0.2056356161832808,1.0,-1.00,NoEvent
FullLoopAR,0.9766188859939576,-0.1036772653460502,0.9659858345985411,-0.0733550488948822,1.0,-1.00,NoEvent
FullLoopAR,0.988656520843506,-0.0833859369158744,0.973490834236145,-0.1395534425973892,1.0,-1.00,NoEvent
AudioOnly,0.962708294391632,-0.0543372668325901,0.9577555656433104,-0.1595146358013153,1.0,-1.00,NoEvent
FullLoopAR,0.9826263189315796,-0.0301741305738687,0.9701008200645448,-0.1439653933048248,1.0,-1.00,NoEvent
FullLoopAR,0.9399504065513612,-0.1732819080352783,0.955603301525116,-0.0754676014184951,1.0,-1.00,NoEvent
BaseCondition,0.9541928172111512,-0.1889088749885559,0.9736822843551636,-0.1067119762301445,0.0,-1.00,NoEvent
AudioOnly,0.9500501155853271,-0.1037682592868805,0.9578273892402648,-0.0440314933657646,1.0,-1.00,NoEvent
FullLoopAR,0.975072145462036,-0.04902945458889,0.9791904091835022,-0.1274756789207458,0.0,-1.00,NoEvent
FullLoopAR,0.9431300163269044,-0.2492508292198181,0.943382203578949,-0.1291099786758422,0.0,-1.00,NoEvent
FullLoopAR,0.9818760752677916,-0.0009257216006517,0.920217402279377,-0.1951418332755565,1.0,-1.00,NoEvent
FullLoopAR,0.9838038086891174,-0.0316558219492435,0.9601295292377472,-0.1083716116845607,1.0,-1.00,NoEvent
BaseCondition,0.9875269532203674,0.0219426751136779,0.9398699998855592,-0.121094211935997,0.0,-1.00,NoEvent
