Timestamp,TrainAcc2D,CV2D,TrainAcc3D,CV3D
-2.58,0.45098039215686275,0.3709090909090909,0.5490196078431373,0.43090909090909085
-2.60,0.47058823529411764,0.3327272727272727,0.5882352941176471,0.450909090909091
-2.62,0.5490196078431373,0.40727272727272723,0.5294117647058824,0.2963636363636364
-2.64,0.49019607843137253,0.29454545454545455,0.5686274509803921,0.4490909090909091
-2.66,0.5294117647058824,0.45272727272727276,0.5686274509803921,0.41090909090909095
-2.68,0.5882352941176471,0.4745454545454545,0.5294117647058824,0.49090909090909085
-2.70,0.5882352941176471,0.5509090909090909,0.5882352941176471,0.5327272727272727
-2.72,0.5294117647058824,0.4709090909090909,0.5882352941176471,0.45090909090909087
-2.74,0.5294117647058824,0.4127272727272727,0.5882352941176471,0.510909090909091
-2.76,0.5294117647058824,0.4890909090909091,0.5686274509803921,0.43454545454545457
-2.78,0.49019607843137253,0.5272727272727273,0.5294117647058824,0.4709090909090909
-2.80,0.5490196078431373,0.4709090909090909,0.5686274509803921,0.5490909090909091
-2.82,0.5686274509803921,0.5290909090909091,0.5294117647058824,0.5490909090909091
-2.84,0.5294117647058824,0.5254545454545454,0.5294117647058824,0.5454545454545454
-2.86,0.5490196078431373,0.5254545454545455,0.5490196078431373,0.5654545454545454
-2.88,0.5686274509803921,0.5290909090909091,0.5686274509803921,0.4690909090909091
-2.90,0.5490196078431373,0.5309090909090909,0.5490196078431373,0.5309090909090909
-2.92,0.5490196078431373,0.510909090909091,0.5686274509803921,0.4709090909090909
-2.94,0.6078431372549019,0.4909090909090909,0.5686274509803921,0.4709090909090909
-2.96,0.6078431372549019,0.6090909090909091,0.6078431372549019,0.550909090909091
-2.98,0.5490196078431373,0.5727272727272728,0.6666666666666666,0.6090909090909091
-3.00,0.5882352941176471,0.5272727272727272,0.6078431372549019,0.45272727272727276
-3.02,0.5882352941176471,0.5472727272727272,0.5490196078431373,0.5472727272727272
-3.04,0.5098039215686274,0.4709090909090909,0.6666666666666666,0.6072727272727273
-3.06,0.6078431372549019,0.5672727272727272,0.6666666666666666,0.5872727272727273
-3.08,0.5686274509803921,0.5472727272727272,0.7058823529411765,0.6636363636363637
-3.10,0.5882352941176471,0.5490909090909091,0.6666666666666666,0.6654545454545455
-3.12,0.6274509803921569,0.5509090909090909,0.6666666666666666,0.6472727272727273
-3.14,0.49019607843137253,0.4927272727272727,0.5686274509803921,0.5127272727272727
-3.16,0.5098039215686274,0.4127272727272727,0.5294117647058824,0.5345454545454545
-3.18,0.5294117647058824,0.45272727272727276,0.5098039215686274,0.4927272727272727
-3.20,0.5098039215686274,0.47272727272727266,0.49019607843137253,0.4927272727272727
-3.22,0.6078431372549019,0.5909090909090909,0.6078431372549019,0.5345454545454545
-3.24,0.5294117647058824,0.43272727272727274,0.5490196078431373,0.3527272727272728
-3.26,0.5882352941176471,0.5490909090909091,0.6078431372549019,0.46909090909090906
-3.28,0.49019607843137253,0.39090909090909093,0.5882352941176471,0.5127272727272727
-3.30,0.6274509803921569,0.5309090909090909,0.7058823529411765,0.5890909090909091
-3.32,0.6078431372549019,0.4927272727272728,0.5882352941176471,0.4872727272727272
-3.34,0.5882352941176471,0.5290909090909091,0.5294117647058824,0.5690909090909091
-3.36,0.5490196078431373,0.5527272727272727,0.5882352941176471,0.49090909090909085
-3.38,0.5686274509803921,0.5472727272727272,0.5490196078431373,0.5309090909090909
-3.40,0.5686274509803921,0.510909090909091,0.5294117647058824,0.43090909090909085
-3.42,0.5490196078431373,0.5527272727272727,0.5882352941176471,0.4927272727272728
-3.44,0.5490196078431373,0.5327272727272726,0.6078431372549019,0.550909090909091
-3.46,0.5686274509803921,0.5509090909090908,0.5490196078431373,0.510909090909091
-3.48,0.5294117647058824,0.5127272727272727,0.5686274509803921,0.5309090909090909
-3.50,0.6078431372549019,0.5290909090909091,0.6470588235294118,0.6690909090909092
-3.52,0.6078431372549019,0.4890909090909091,0.6470588235294118,0.6472727272727272
-3.54,0.5882352941176471,0.5909090909090908,0.6078431372549019,0.5890909090909091
-3.56,0.6078431372549019,0.609090909090909,0.6470588235294118,0.6290909090909091
-3.58,0.5686274509803921,0.5690909090909091,0.5686274509803921,0.5690909090909091
-3.60,0.5098039215686274,0.509090909090909,0.7450980392156863,0.6854545454545454
-3.62,0.5098039215686274,0.4909090909090909,0.6666666666666666,0.6054545454545455
-3.64,0.5490196078431373,0.4709090909090909,0.6666666666666666,0.6254545454545454
-3.66,0.5098039215686274,0.39090909090909093,0.7647058823529411,0.7436363636363637
-3.68,0.5294117647058824,0.37090909090909085,0.5882352941176471,0.5036363636363637
-3.70,0.5294117647058824,0.4672727272727273,0.6078431372549019,0.5290909090909091
-3.72,0.5098039215686274,0.3727272727272727,0.7254901960784313,0.7054545454545454
-3.74,0.5882352941176471,0.5490909090909091,0.6666666666666666,0.6454545454545455
-3.76,0.5882352941176471,0.510909090909091,0.5882352941176471,0.5890909090909091
-3.78,0.5882352941176471,0.5690909090909091,0.6666666666666666,0.6272727272727273
-3.80,0.6274509803921569,0.6090909090909091,0.6470588235294118,0.5490909090909091
-3.82,0.5882352941176471,0.5690909090909091,0.6862745098039216,0.6654545454545454
-3.84,0.6470588235294118,0.6072727272727272,0.6666666666666666,0.6836363636363636
-3.86,0.6078431372549019,0.570909090909091,0.6078431372549019,0.5490909090909091
-3.88,0.6078431372549019,0.570909090909091,0.5882352941176471,0.5890909090909091
-3.90,0.6078431372549019,0.570909090909091,0.6078431372549019,0.5690909090909091
-3.92,0.6274509803921569,0.5890909090909091,0.6862745098039216,0.6454545454545454
-3.94,0.5882352941176471,0.5672727272727272,0.6862745098039216,0.6472727272727272
-3.96,0.5882352941176471,0.5690909090909091,0.6470588235294118,0.6272727272727273
-3.98,0.6078431372549019,0.610909090909091,0.6470588235294118,0.630909090909091
-4.00,0.6078431372549019,0.6109090909090908,0.6470588235294118,0.610909090909091
-4.02,0.6470588235294118,0.6490909090909092,0.6470588235294118,0.5909090909090909
-4.04,0.6470588235294118,0.6509090909090909,0.6078431372549019,0.5909090909090909
-4.06,0.6470588235294118,0.6509090909090909,0.6078431372549019,0.5909090909090909
-4.08,0.6470588235294118,0.6109090909090908,0.6078431372549019,0.5909090909090909
-4.10,0.6470588235294118,0.6672727272727272,0.6666666666666666,0.6672727272727272
-4.12,0.6470588235294118,0.6872727272727273,0.6470588235294118,0.6672727272727272
-4.14,0.6862745098039216,0.6872727272727274,0.6666666666666666,0.6472727272727273
-4.16,0.6862745098039216,0.6872727272727274,0.6666666666666666,0.6472727272727273
-4.18,0.6862745098039216,0.6672727272727272,0.6470588235294118,0.6472727272727272
-4.20,0.7058823529411765,0.6472727272727272,0.6470588235294118,0.6472727272727273
-4.22,0.7058823529411765,0.6672727272727274,0.6470588235294118,0.6272727272727272
-4.24,0.7254901960784313,0.7454545454545455,0.6666666666666666,0.7072727272727273
-4.26,0.7058823529411765,0.6854545454545454,0.7058823529411765,0.6472727272727273
-4.28,0.7254901960784313,0.7054545454545456,0.7058823529411765,0.6872727272727274
-4.30,0.7450980392156863,0.7054545454545456,0.7058823529411765,0.7072727272727274
-4.32,0.7843137254901961,0.6654545454545454,0.6666666666666666,0.6454545454545455
-4.34,0.6078431372549019,0.5290909090909091,0.6666666666666666,0.6072727272727273
-4.36,0.6078431372549019,0.5472727272727272,0.6666666666666666,0.6072727272727273
